,document_processed
0,title enchanted april
1,author elizabeth von arnim
2,release date july 29 2005 ebook 16389 recently updated june 25 2023
3,language english
4,credit manette rothermel
5,
6,began woman club london february afternoon uncomfortable club miserable afternoon mr wilkins come hampstead shop lunched club took time table smoking room running listless eye agony column saw
7,appreciate wistaria sunshine small mediaeval italian castle shore mediterranean let furnished month april necessary servant remain z box 1000 time
8,conception yet case many another conceiver unaware moment
9,entirely unaware mr wilkins april year settled dropped newspaper gesture irritated resigned went window stared drearily dripping street
10,mediaeval castle even specially described small shore april mediterranean wistaria sunshine delight rich yet advertisement addressed person appreciate thing anyhow addressed certainly appreciated anybody knew ever told poor whole world possessed ninety pound saved year year put carefully pound pound dress allowance scraped sum together suggestion husband shield refuge rainy day dress allowance given father 100 year mr wilkins clothes husband urging save called modest becoming acquaintance spoke seldom negligible called perfect sight
11,mr wilkins solicitor encouraged thrift except branch got food call thrift called bad housekeeping thrift like moth penetrated mr wilkins clothes spoilt much praise never know said rainy day may glad find nest egg indeed may
12,looking club window shaftesbury avenue economical club convenient hampstead lived shoolbred shopped mr wilkins stood time drearily mind eye mediterranean april wistaria enviable opportunity rich bodily eye watched really extremely horrible sooty rain falling steadily hurrying umbrella splashing omnibus suddenly wondered whether perhaps rainy day mellersh mellersh mr wilkins often encouraged prepare whether get climate small mediaeval castle perhaps providence along intended saving part saving course perhaps quite small part castle mediaeval might also dilapidated dilapidation surely cheap least mind pay dilapidation already contrary reducing price pay really paid nonsense think
13,turned away window gesture mingled irritation resignation laid time crossed room towards door intention getting mackintosh umbrella fighting way one overcrowded omnibus going shoolbred way home buying sol mellersh dinner mellersh difficult fish liked sol except salmon beheld mr arbuthnot woman knew sight also living hampstead belonging club sitting table middle room newspaper magazine kept absorbed turn first page time
14,mr wilkins never yet spoken mr arbuthnot belonged one various church set analysed classified divided registered poor whereas mellersh go went party impressionist painter hampstead many mellersh sister married one lived heath alliance mr wilkins drawn circle highly unnatural learned dread picture say thing know say used murmur marvellous feel enough nobody minded nobody listened nobody took notice mr wilkins kind person noticed party clothes infested thrift made practically invisible face non arresting conversation reluctant shy one clothes face conversation negligible thought mr wilkins recognised disability party left one
15,also always wilkins clean shaven fine looking man gave party merely coming great air wilkins respectable known highly thought senior partner sister circle admired pronounced adequately intelligent judgment art artist pithy prudent never said word much hand ever say word little produced impression keeping copy everything said obviously reliable often happened people met party became discontented solicitor period restlessness extricated went wilkins
16,naturally mr wilkins blotted said sister something judicial digested final manner stay home wilkins could leave wife home family solicitor wife show week went party sunday went church still fairly young thirty nine ambitious old lady yet acquired practice sufficient number could afford miss church mr wilkins became familiar though never word mr arbuthnot
17,saw marshalling child poor pew would come head procession sunday school exactly five minute choir get boy girl neatly fitted allotted seat little knee preliminary prayer foot swelling organ vestry door opened choir clergy big litany commandment presently roll emerged sad face yet evidently efficient combination used make mr wilkins wonder told mellersh day able get plaice one efficient one depressed one one job well one becomes automatically bright brisk
18,mr arbuthnot nothing bright brisk though much way sunday school child automatic mr wilkins turning window caught sight club automatic looking fixedly one portion first page time holding paper quite still eye moving staring face usual face patient disappointed madonna
19,obeying impulse wondered even obeying mr wilkins shy reluctant instead proceeding intended cloakroom thence schoolbred search mellersh fish stopped table sat exactly opposite mr arbuthnot never yet spoken life
20,one long narrow refectory table quite close
21,mr arbuthnot however look continued gaze eye seemed dreaming one spot time
